climate_region,WUE_FixedApproachDirect(L/KWh),WUE_FixedColdWaterDirect(L/KWh),WUE_Indirect(L/KWh),Leakages (%)
Desert,1.66105171536021,1.3975356270914665,3.2966031352908485,0.4182105263157895
Mediterranean,1.5683492495455325,1.2445391680054019,1.6324003765539896,0.30960000000000004
Rainforest,1.6913727262731624,1.4757701490343371,3.3013232751930564,0.3972
Savana,1.6305101054970323,1.3227252312932793,3.371680421526112,0.33389090909090907
Steppe,1.6103493465860486,1.3160012649553323,3.8460367682117282,0.3534
