country,year,temperature,humidity,precipitation,wind_speed,wetbulb_temperature,WUE_FixedApproachDirect(L/KWh),WUE_FixedColdWaterDirect(L/KWh),WUE_Indirect(L/KWh),Leakages (%),Total energy - TWh,Total renewables - TWh,Total fossil fuels - TWh,Coal consumption - TWh,Gas consumption - TWh,Oil consumption - TWh,Nuclear consumption - TWh,Solar consumption - TWh,Hydro consumption - TWh,Wind consumption - TWh,Biofuels consumption - TWh,Low carbon - TWh,Other renewables (including geothermal and biomass) - TWh,Other - TWh,climate_region,Pct renewables,Pct fossil fuels,Pct Coal consumption,Pct Gas consumption,Pct Oil consumption,Pct Nuclear consumption,Pct Solar consumption,Pct Hydro consumption,Pct Wind consumption,Pct Biofuels consumption,Pct Low carbon,Pct Other renewables,Pct Other
Algeria,2022,21.050125313620068,52.42942025089606,0.03616236559139785,9.934159005376344,58.13757946720755,1.5859313145629375,1.2636807529530862,1.4139492807193106,0.3972,6423001.378978442,5957.804724919642,6417043.574253524,19054.54888028317,4410418.138886943,1987570.8864862965,0.0,5782.575173477253,87.614775355716,87.614775355716,3.654779999299083e-07,5957.804724188689,3.654779999299083e-07,0.0,Mediterranean,0.09275733217835944,99.90724266782165,0.2966611363753706,68.66600018679128,30.944581344655003,0.0,0.09002917533853859,0.0013640784142202823,0.0013640784142202823,5.690143569423247e-12,0.0927573321669792,0.0,5.690143569423247e-12
Algeria,2023,18.747701518993768,57.254442366518354,0.07137527467688966,10.08160812234052,55.27041277449035,1.5545314196750781,1.2519256718169134,1.4139492807193106,0.3972,6423001.378978442,5957.804724919642,6417043.574253524,19054.54888028317,4410418.138886943,1987570.8864862965,0.0,5782.575173477253,87.614775355716,87.614775355716,3.654779999299083e-07,5957.804724188689,3.654779999299083e-07,0.0,Mediterranean,0.09275733217835944,99.90724266782165,0.2966611363753706,68.66600018679128,30.944581344655003,0.0,0.09002917533853859,0.0013640784142202823,0.0013640784142202823,5.690143569423247e-12,0.0927573321669792,0.0,5.690143569423247e-12
Algeria,2024,19.82991571969697,56.28722853535354,0.03162743055555556,10.881640572390573,56.880095225597685,1.575103170689388,1.2505896103370424,1.4139492807193106,0.3972,6423001.378978442,5957.804724919642,6417043.574253523,19054.54888028317,4410418.138886943,1987570.8864862968,0.0,5782.575173477254,87.61477535571599,87.61477535571599,3.654779999299083e-07,5957.80472418869,3.654779999299083e-07,0.0,Mediterranean,0.09275733217835944,99.90724266782165,0.2966611363753706,68.66600018679128,30.944581344655003,0.0,0.09002917533853859,0.0013640784142202821,0.0013640784142202821,5.690143569423247e-12,0.09275733216697923,0.0,5.690143569423247e-12
Benin,2022,26.0089160692951,72.90136648745519,0.19435410692951016,9.639258587216249,71.37791252666149,1.6812577161175593,1.4519003487077589,1.462263736263736,0.3972,18127.077357373757,398.3973045576652,17728.680052816093,0.0,17728.680052816093,0.0,0.0,398.3973045576652,0.0,0.0,0.0,398.3973045576652,0.0,0.0,Savana,2.197802197802199,97.80219780219781,0.0,97.80219780219781,0.0,0.0,2.197802197802199,0.0,0.0,0.0,2.197802197802199,0.0,0.0
Benin,2023,27.57875575370157,69.78462248250555,0.24679829175733914,11.112384085914833,72.97552732230174,1.6875135761227893,1.4887570241069994,1.462263736263736,0.3972,18127.077357373757,398.3973045576652,17728.680052816093,0.0,17728.680052816093,0.0,0.0,398.3973045576652,0.0,0.0,0.0,398.3973045576652,0.0,0.0,Savana,2.197802197802199,97.80219780219781,0.0,97.80219780219781,0.0,0.0,2.197802197802199,0.0,0.0,0.0,2.197802197802199,0.0,0.0
Botswana,2022,24.013352598566307,37.90316681600955,0.05114744623655914,14.71980122461171,57.94518567122132,1.5908296022498967,1.2440042610046627,2.015035573122529,0.55,50397.25902654465,199.19865227883253,50198.06037426581,50198.06037426581,0.0,0.0,0.0,199.19865227883253,0.0,0.0,0.0,199.19865227883253,0.0,0.0,Savana,0.39525691699604726,99.60474308300395,99.60474308300395,0.0,0.0,0.0,0.39525691699604726,0.0,0.0,0.0,0.39525691699604726,0.0,0.0
Botswana,2023,21.200043882808497,42.69895273297491,0.05680444215096433,12.291760039309182,55.70379185223581,1.565259279469707,1.237574630301853,2.015035573122529,0.55,50397.25902654464,199.19865227883255,50198.06037426582,50198.06037426582,0.0,0.0,0.0,199.19865227883255,0.0,0.0,0.0,199.19865227883255,0.0,0.0,Savana,0.3952569169960474,99.60474308300397,99.60474308300397,0.0,0.0,0.0,0.3952569169960474,0.0,0.0,0.0,0.3952569169960474,0.0,0.0
Burkina Faso,2022,26.89132243130227,49.167113948626046,0.16530674283154123,10.926416143966547,65.24812923667321,1.6413157633043554,1.3534628493979894,4.562714049999999,0.25,4780.76765469198,4780.76765469198,0.0,0.0,0.0,0.0,0.0,2390.38382734599,2390.38382734599,0.0,0.0,4780.76765469198,0.0,0.0,Savana,100.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,100.0,0.0,0.0
Burkina Faso,2023,30.09937567337643,39.11660906298003,0.14507662157044718,12.335318420378904,66.3948379900655,1.648120013268154,1.3736781257360946,4.562714049999999,0.25,4780.76765469198,4780.76765469198,0.0,0.0,0.0,0.0,0.0,2390.38382734599,2390.38382734599,0.0,0.0,4780.76765469198,0.0,0.0,Savana,100.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,100.0,0.0,0.0
Burundi,2022,20.273353942652328,67.00249925328554,0.14616414277180406,5.8005513739546,60.53869248877782,1.6195853222293306,1.2536860844312028,5.270061660645188,0.42,4581.569002811547,4581.569002811547,0.0,0.0,0.0,0.0,0.0,199.19865227883253,4382.370350134317,0.0,1.991986522788325e-07,4780.76765469198,1.991986522788325e-07,0.0,Savana,100.0,0.0,0.0,0.0,0.0,0.0,4.347826086578449,95.6521739047259,0.0,4.347826086578448e-09,104.34782607788276,0.0,4.347826086578448e-09
