country,year,month,temperature,humidity,precipitation,wind_speed,wetbulb_temperature,WUE_FixedApproachDirect(L/KWh),WUE_FixedColdWaterDirect(L/KWh),WUE_Indirect(L/KWh),Leakages (%),Total energy - TWh,Total renewables - TWh,Total fossil fuels - TWh,Coal consumption - TWh,Gas consumption - TWh,Oil consumption - TWh,Nuclear consumption - TWh,Solar consumption - TWh,Hydro consumption - TWh,Wind consumption - TWh,Biofuels consumption - TWh,Low carbon - TWh,Other renewables (including geothermal and biomass) - TWh,Other - TWh,climate_region,Pct renewables,Pct fossil fuels,Pct Coal consumption,Pct Gas consumption,Pct Oil consumption,Pct Nuclear consumption,Pct Solar consumption,Pct Hydro consumption,Pct Wind consumption,Pct Biofuels consumption,Pct Low carbon,Pct Other renewables,Pct Other
South Sudan,2023,7,26.430197132616488,74.60483870967742,0.14269041218637993,5.977912186379928,72.76510741730972,1.6905345883627227,1.4735358745612972,3.788,0.3972,12350.316441287621,398.3973045576652,11951.91913672995,0.0,0.0,0.0,0.0,398.3973045576652,0.0,0.0,0.0,398.3973045576652,0.0,0.0,Savana,3.225806451612903,96.77419354838705,0.0,0.0,0.0,0.0,3.225806451612903,0.0,0.0,0.0,3.225806451612903,0.0,0.0
South Sudan,2023,8,26.09822916666667,75.14027777777778,0.21720486111111112,5.437048611111112,72.26863696269534,1.6891217952481445,1.4606500064320602,3.788,0.3972,12350.316441287623,398.3973045576652,11951.919136729948,0.0,0.0,0.0,0.0,398.3973045576652,0.0,0.0,0.0,398.3973045576652,0.0,0.0,Savana,3.2258064516129026,96.77419354838702,0.0,0.0,0.0,0.0,3.2258064516129026,0.0,0.0,0.0,3.2258064516129026,0.0,0.0
Sudan,2022,8,30.572569444444447,53.46875,0.05291666666666667,16.253333333333334,73.43025172964812,1.6923324415852492,1.4910556174654837,5.331814230019813,0.3972,449153.1211583116,266527.796749078,160394.754814916,0.0,0.0,0.0,0.0,956.1535309383964,262942.22100805904,0.0,2.62942221008059e-06,266527.796749078,2.62942221008059e-06,0.0,Steppe,59.34007450771689,35.71048430015966,0.0,0.0,0.0,0.0,0.21287919105907402,58.54177754124537,0.0,5.854177754124536e-10,59.34007450771689,0.0,5.854177754124536e-10
Sudan,2022,9,31.856611111111114,46.97,0.024497222222222222,14.694833333333332,73.1732492506176,1.6912716713381997,1.485273326160464,5.331814230019813,0.3972,449153.1211583116,266527.796749078,160394.754814916,0.0,0.0,0.0,0.0,956.1535309383964,262942.22100805904,0.0,2.62942221008059e-06,266527.796749078,2.62942221008059e-06,0.0,Steppe,59.34007450771689,35.71048430015966,0.0,0.0,0.0,0.0,0.21287919105907402,58.54177754124537,0.0,5.854177754124536e-10,59.34007450771689,0.0,5.854177754124536e-10
Sudan,2022,10,31.81991935483871,36.6768817204301,0.006634408602150537,14.753817204301075,68.933466971458,1.6698687133149448,1.4004068913453533,5.331814230019813,0.3972,449153.1211583116,266527.796749078,160394.754814916,0.0,0.0,0.0,0.0,956.1535309383964,262942.22100805904,0.0,2.62942221008059e-06,266527.796749078,2.62942221008059e-06,0.0,Steppe,59.34007450771689,35.71048430015966,0.0,0.0,0.0,0.0,0.21287919105907402,58.54177754124537,0.0,5.854177754124536e-10,59.34007450771689,0.0,5.854177754124536e-10
Sudan,2022,11,28.319499999999998,34.58861111111111,0.020305555555555556,18.087583333333335,63.30196325972812,1.6317310764734345,1.3138604714943583,5.331814230019813,0.3972,449153.1211583116,266527.796749078,160394.754814916,0.0,0.0,0.0,0.0,956.1535309383964,262942.22100805904,0.0,2.62942221008059e-06,266527.796749078,2.62942221008059e-06,0.0,Steppe,59.34007450771689,35.71048430015966,0.0,0.0,0.0,0.0,0.21287919105907402,58.54177754124537,0.0,5.854177754124536e-10,59.34007450771689,0.0,5.854177754124536e-10
Sudan,2022,12,25.157123655913978,37.3491935483871,0.020860215053763443,18.580295698924733,60.12879932184912,1.6087936792570765,1.2689988700340171,5.331814230019813,0.3972,449153.1211583116,266527.796749078,160394.754814916,0.0,0.0,0.0,0.0,956.1535309383964,262942.22100805904,0.0,2.62942221008059e-06,266527.796749078,2.62942221008059e-06,0.0,Steppe,59.34007450771689,35.71048430015966,0.0,0.0,0.0,0.0,0.21287919105907402,58.54177754124537,0.0,5.854177754124536e-10,59.34007450771689,0.0,5.854177754124536e-10
Sudan,2023,1,24.205376344086023,35.53682795698925,0.012043010752688172,19.123655913978492,57.890192453007536,1.5880407993615466,1.2496741557073008,5.331814230019813,0.3972,449153.1211583116,266527.796749078,160394.754814916,0.0,0.0,0.0,0.0,956.1535309383964,262942.22100805904,0.0,2.62942221008059e-06,266527.796749078,2.62942221008059e-06,0.0,Steppe,59.34007450771689,35.71048430015966,0.0,0.0,0.0,0.0,0.21287919105907402,58.54177754124537,0.0,5.854177754124536e-10,59.34007450771689,0.0,5.854177754124536e-10
Sudan,2023,2,25.14547619047619,31.967857142857145,0.0023511904761904763,21.440386904761905,57.630451697654124,1.5861572572872802,1.246018142585396,5.331814230019813,0.39720000000000005,449153.1211583116,266527.796749078,160394.754814916,0.0,0.0,0.0,0.0,956.1535309383964,262942.22100805904,0.0,2.62942221008059e-06,266527.796749078,2.62942221008059e-06,0.0,Steppe,59.34007450771689,35.71048430015966,0.0,0.0,0.0,0.0,0.21287919105907402,58.54177754124537,0.0,5.854177754124536e-10,59.34007450771689,0.0,5.854177754124536e-10
Sudan,2023,3,28.99997311827957,24.201612903225804,0.0006155913978494623,18.053817204301076,59.06130401027499,1.601314993168831,1.253265757590065,5.331814230019813,0.3972,449153.1211583116,266527.796749078,160394.754814916,0.0,0.0,0.0,0.0,956.1535309383964,262942.22100805904,0.0,2.62942221008059e-06,266527.796749078,2.62942221008059e-06,0.0,Steppe,59.34007450771689,35.71048430015966,0.0,0.0,0.0,0.0,0.21287919105907402,58.54177754124537,0.0,5.854177754124536e-10,59.34007450771689,0.0,5.854177754124536e-10
